,Movie Name,Genre,Country,Release Date,Percentage User score,Description,Movie link
38,Guarding Tess,"['Comedy', 'Drama']",US,1994-03-11,60,"Doug is a Secret Service Agent who has just completed his stint in charge protecting Tess Carlisle—the widow of a former U.S. President, and a close personal friend of the current President. He finds that she has requested that he not be rotated but instead return to be her permanent detail. Doug is crushed, and—after returning—wants off her detail as she is very difficult to guard and makes her detail crazy with her whims and demands.",https://www.themoviedb.org/movie/6472-guarding-tess
39,Jukujo virgin: Momarete Minato-chô,['Drama'],JP,2017-04-28,40,"Kazuko, a 35-year-old virgin woman, lonely and very newbie, was watching and sketching Asuka, a young college girl, while she was having sex with a stranger on a beach.",https://www.themoviedb.org/movie/1006467
40,The Unbearable Weight of Massive Talent,"['Action', 'Comedy', 'Crime']",US,2022-04-22,68,"Creatively unfulfilled and facing financial ruin, Nick Cage must accept a $1 million offer to attend the birthday of a dangerous superfan. Things take a wildly unexpected turn when Cage is recruited by a CIA operative and forced to live up to his own legend, channeling his most iconic and beloved on-screen characters in order to save himself and his loved ones.",https://www.themoviedb.org/movie/648579-the-unbearable-weight-of-massive-talent
41,Bohemian Rhapsody,"['Music', 'Drama']",US,2018-11-02,80,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",https://www.themoviedb.org/movie/424694-bohemian-rhapsody
42,Zénithal,"['Comedy', 'Action', 'Romance']",FR,2024-08-21,0,"A woman battles to establish peace between the sexes after her longtime boyfriend falls under the thrall of a Machiavellian schemer, who has murdered and harnessed the virulent powers of a famous kung-fu master, as part of a plan to restore absolute male domination.",https://www.themoviedb.org/movie/1001057-zenithal
43,Sunod,['Horror'],PH,2019-12-25,71,"A woman is desperate to find the cure to her daughter's illness. She takes a job at a call center, only to be haunted by the ghost in it.",https://www.themoviedb.org/movie/638238-sunod
44,Undertaking Betty,"['Comedy', 'Romance']",US,2005-11-12,61,A politician's wife and the mortician who has secretly loved her for years plan to fake her death so they can run away together.,https://www.themoviedb.org/movie/10918-undertaking-betty
45,Tokyo Ghoul: Jack,"['Horror', 'Action', 'Animation', 'Drama']",JP,2015-09-05,77,"Who needs school, who needs baseball, and who needs friends? That's the attitude of high school delinquent, Taishi Fura, who became a loner after falling out with his peers. One day, he witnesses the brutal attack of a ghoul, which left one of his former friends in the hospital and the other dead. Determined to avenge them, Fura decides to pursue the man-eating monster.  His efforts allow him to cross paths with Kishou Arima, a quiet student who also attends his high school. Arima, however, is no ordinary student. Despite his young age, he is a full-fledged investigator of the CCG, a government task force that strives to deal with the ghoul threat. Together, Fura and Arima hunt down the ghoul, known as Lantern, but it soon becomes apparent the monster may be closer than anyone suspects.  In this side story, Tokyo Ghoul: ""Jack"" offers a glimpse into the past of Kishou Arima, well before he ever became the CCG's feared God of Death.",https://www.themoviedb.org/movie/483685-jack
46,The World Is Not Enough,"['Adventure', 'Action', 'Thriller']",GB,1999-11-26,63,"Greed, revenge, world dominance and high-tech terrorism – it's all in a day's work for Bond, who's on a mission to protect a beautiful oil heiress from a notorious terrorist. In a race against time that culminates in a dramatic submarine showdown, Bond works to defuse the international power struggle that has the world's oil supply hanging in the balance.",https://www.themoviedb.org/movie/36643-the-world-is-not-enough
47,Under Fire,"['Drama', 'War']",US,1983-10-21,66,Three U.S. journalists get too close to one another and their work in 1979 Nicaragua.,https://www.themoviedb.org/movie/12503-under-fire
